[256265, 260105]
MXHcqgE7So1QSATND425FB1PXDi6Ql6Q
start
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
260105 44181.35
256265 19521.85
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
260105 44181.35
256265 19521.85
256265 19521.85
260105 44181.35
260105 44181.35
256265 19521.85
256265 19521.85
260105 44181.35
256265 19521.85
260105 44181.35
260105 44176.7
256265 19530.6
256265 19529.95
260105 44217.25
256265 19524.95
260105 44217.25
256265 19523.75
260105 44215.25
256265 19534.0
260105 44239.15
256265 19526.3
260105 44221.25
256265 19525.55
260105 44209.65
256265 19519.9
260105 44191.0
256265 19521.9
260105 44201.85
256265 19521.1
260105 44197.75
256265 19520.95
260105 44192.55
256265 19518.2
260105 44168.05
260105 44174.5
256265 19516.5
260105 44171.2
256265 19518.9
260105 44196.8
256265 19523.8
256265 19522.25
260105 44184.8
260105 44167.9
256265 19517.2
256265 19518.8
260105 44178.0
256265 19517.25
256265 19518.65
260105 44184.75
260105 44183.85
256265 19514.6
260105 44172.1
256265 19514.4
260105 44177.8
256265 19514.3
260105 44183.15
256265 19511.1
260105 44171.05
256265 19510.85
260105 44176.9
256265 19515.45
260105 44180.9
256265 19513.75
260105 44178.65
256265 19512.25
260105 44177.5
256265 19514.0
260105 44167.55
260105 44176.35
256265 19516.35
256265 19513.35
260105 44172.05
256265 19518.1
260105 44179.25
256265 19517.25
260105 44173.65
256265 19515.9
260105 44172.95
260105 44170.85
256265 19515.5
256265 19513.6
260105 44167.85
256265 19515.7
260105 44174.1
256265 19515.9
260105 44169.9
256265 19515.5
260105 44164.05
260105 44171.2
256265 19516.3
256265 19517.0
260105 44166.9
256265 19518.5
260105 44172.0
256265 19519.1
260105 44167.85
260105 44174.15
256265 19520.45
256265 19522.25
260105 44172.0
256265 19520.1
260105 44170.65
256265 19521.9
260105 44171.5
260105 44169.25
256265 19520.1
256265 19520.95
260105 44176.5
256265 19520.6
260105 44177.0
256265 19519.15
260105 44178.15
256265 19521.05
256265 19522.25
260105 44178.75
260105 44176.5
256265 19520.1
256265 19520.0
260105 44173.8
256265 19521.3
260105 44177.9
256265 19522.6
260105 44179.1
260105 44170.8
256265 19520.2
256265 19523.75
260105 44170.4
256265 19524.55
260105 44176.9
256265 19526.45
260105 44175.85
260105 44178.8
256265 19525.2
256265 19525.35
260105 44174.4
260105 44182.4
256265 19528.25
256265 19529.15
260105 44184.0
256265 19531.3
260105 44191.35
256265 19529.65
260105 44185.45
260105 44187.85
256265 19530.8
256265 19531.3
260105 44194.9
256265 19529.7
260105 44191.9
256265 19534.0
260105 44195.7
256265 19534.7
260105 44198.1
260105 44190.25
256265 19531.85
256265 19531.05
260105 44191.55
256265 19532.85
260105 44195.8
260105 44197.9
256265 19534.4
260105 44196.2
256265 19533.55
256265 19533.75
260105 44195.45
260105 44200.0
256265 19534.15
260105 44200.3
256265 19535.35
260105 44204.95
256265 19532.7
260105 44196.45
256265 19534.05
260105 44195.4
256265 19532.75
256265 19531.7
260105 44197.6
256265 19534.45
260105 44204.6
256265 19533.1
256265 19533.8
260105 44208.15
256265 19531.05
260105 44203.05
256265 19532.0
260105 44201.1
256265 19531.6
260105 44202.8
256265 19532.05
260105 44204.15
256265 19532.6
260105 44206.3
256265 19532.85
260105 44215.8
256265 19535.4
260105 44222.65
256265 19535.05
260105 44217.8
256265 19535.65
260105 44219.3
256265 19532.7
260105 44211.35
260105 44211.2
256265 19534.15
256265 19534.6
260105 44214.45
256265 19535.55
256265 19534.15
260105 44214.9
260105 44211.35
256265 19532.65
256265 19533.2
260105 44211.6
256265 19534.15
260105 44211.25
256265 19535.8
260105 44213.5
256265 19533.0
260105 44210.7
256265 19533.45
260105 44204.05
256265 19533.45
260105 44204.2
256265 19533.75
260105 44199.8
256265 19534.4
260105 44204.4
256265 19534.15
260105 44202.15
260105 44203.5
256265 19533.25
260105 44203.65
256265 19534.75
260105 44206.25
256265 19534.75
260105 44208.5
260105 44203.25
256265 19534.8
256265 19536.4
260105 44214.75
256265 19536.05
260105 44210.6
256265 19537.7
260105 44215.45
256265 19536.6
260105 44212.15
260105 44214.8
256265 19538.2
256265 19538.05
260105 44210.8
260105 44213.35
256265 19536.15
260105 44214.45
256265 19533.45
260105 44220.0
256265 19535.2
256265 19535.3
260105 44216.85
256265 19534.3
260105 44212.45
256265 19534.8
260105 44213.15
256265 19535.2
260105 44213.95
256265 19535.75
260105 44216.65
256265 19534.95
256265 19536.2
260105 44219.3
256265 19537.1
256265 19534.15
260105 44219.05
256265 19533.4
